Name,Port,Date,KPI,Hour00Min00,Hour00Min15,Hour00Min30,Hour00Min45,Hour01Min00,Hour01Min15,Hour01Min30,Hour01Min45,Hour02Min00,Hour02Min15,Hour02Min30,Hour02Min45,Hour03Min00,Hour03Min15,Hour03Min30,Hour03Min45,Hour04Min00,Hour04Min15,Hour04Min30,Hour04Min45,Hour05Min00,Hour05Min15,Hour05Min30,Hour05Min45,Hour06Min00,Hour06Min15,Hour06Min30,Hour06Min45,Hour07Min00,Hour07Min15,Hour07Min30,Hour07Min45,Hour08Min00,Hour08Min15,Hour08Min30,Hour08Min45,Hour09Min00,Hour09Min15,Hour09Min30,Hour09Min45,Hour10Min00,Hour10Min15,Hour10Min30,Hour10Min45,Hour11Min00,Hour11Min15,Hour11Min30,Hour11Min45,Hour12Min00,Hour12Min15,Hour12Min30,Hour12Min45,Hour13Min00,Hour13Min15,Hour13Min30,Hour13Min45,Hour14Min00,Hour14Min15,Hour14Min30,Hour14Min45,Hour15Min00,Hour15Min15,Hour15Min30,Hour15Min45,Hour16Min00,Hour16Min15,Hour16Min30,Hour16Min45,Hour17Min00,Hour17Min15,Hour17Min30,Hour17Min45,Hour18Min00,Hour18Min15,Hour18Min30,Hour18Min45,Hour19Min00,Hour19Min15,Hour19Min30,Hour19Min45,Hour20Min00,Hour20Min15,Hour20Min30,Hour20Min45,Hour21Min00,Hour21Min15,Hour21Min30,Hour21Min45,Hour22Min00,Hour22Min15,Hour22Min30,Hour22Min45,Hour23Min00,Hour23Min15,Hour23Min30,Hour23Min45
4884_ZC_11,FlexiPacket GbEPort 1,2015-01-26,OutGoodPkts,6957083,6799059,6774927,6800368,6725954,6761977,6793888,6788862,6805656,6757268,6671254,6646833,6667495,6680595,6716834,6735720,6732433,6665973,6672705,6671201,6677424,6680130,6695752,6737271,6826892,6877961,6925451,7119545,7355860,7470506,7518501,7882578,7754828,7640343,7767769,7958599,7771615,7552840,7459170,7486565,7530879,7485580,7571802,7520999,7405518,7387883,7522893,7535743,7404570,7404692,7709905,7472826,7569910,7517670,7585463,7576423,7427140,7516587,7356794,7453101,7553904,7542156,7730202,7814850,7709938,7718700,7831442,8060216,7845033,8026808,7808479,7838425,8024273,7768565,7764296,8165994,7862343,7958307,7882549,7785050,7630906,7586007,7532361,7407005,7527946,7720392,7524163,7334306,7310105,7355748,7607318,7485675,7349769,7257374,7180333,7203730
4924_ZC_17,FlexiPacket Radio 1,2015-01-26,RX_profile_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033_ZC_13,FlexiPacket Radio 1,2015-01-26,TX_Average_Capacity,2417028,2416988,2417039,2417013,2417015,2417015,2417013,2417015,2417015,2417013,2417015,2417015,2417013,2417015,2417015,2417015,2417015,2417013,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417013,2417015,2417015,2417013,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417015,2417018,2416988,2417043,2417014,2417016,2417014,2417016,2417014,2417014,2417014,2417016,2417017,2417016,2417011,2417016,2417014,2417016,2417014,2417016,2417011,2417016,2417014,2417014,2417014,2417016,2417014,2417016,2417011,2417016,2417014,2417016,2417014,2417014,2417014,2417014,2417011,2417016,2417011,2417016,2416985,2417040,2417014,2417014,2417014,2417013,2417015,2416986,2417039,2417015,2417013,2417013,2417015,2417013
10660_ZA_11,ODU 2 Radio 2,2015-01-26,RLTS_4_th,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
0370_ZC_14,FlexiPacket Radio 1,2015-01-26,RX_profile_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3140_ZEA_12,MainBoard FPH800 gbe4port GbEPort 4,2015-01-26,OutGoodPkts,3474,3584,3531,3566,3493,4003,3593,3673,3533,3576,3562,3755,3462,3469,3563,3523,3576,3673,3483,3506,3988,3592,3992,3473,3569,3571,3461,3464,3552,3517,3851,3463,3467,3687,3594,3567,3709,3473,3669,3509,3489,3565,3491,3602,3584,3507,3466,3574,3511,3572,3643,3435,3667,3509,3564,3483,3533,3516,3798,3475,3518,3593,3517,3628,3847,3574,3565,3618,3460,3583,4491,3943,4215,5856,3543,3515,3491,3654,3488,3673,3582,3905,3507,3958,3563,3501,3483,3509,3574,3486,3621,3760,3802,3523,3562,3552
10104_ZC_12,FlexiPacket Radio 1,2015-01-26,RX_profile_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4924_ZA_21,BB-Modem 1 OptTrib 1,2015-01-26,UAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0435_ZC_15,FlexiPacket GbEPort 1,2015-01-26,InGoodPkts,1071747,1075705,1063659,1052460,1047605,1048163,1044750,1038367,1037075,1045731,1032508,1032794,1030052,1037178,1032003,1033067,1033329,1036596,1032647,1036549,1040341,1045063,1051028,1066014,1109631,1115759,1167107,1208218,1307656,1440562,1598170,1489855,1579601,1533841,1661370,1633671,1633729,1505052,1516220,1453460,1501905,1501894,1498423,1507972,1627363,1477171,1509397,1542039,1596645,1572753,1521142,1522373,1501465,1467625,1443440,1465474,1397966,1443150,1546813,1549120,1557692,1502473,1443524,1504502,1602712,1591447,1673443,1777948,1636729,1749130,1700619,1799465,1751189,1615884,1626534,1818069,1613536,1474335,1633221,1558970,1387192,1519675,1448139,1382714,1333111,1804952,2105062,1593116,1317466,1290233,1221682,1174935,1160450,1139893,1109633,1299938
4884_ZC_11,FlexiPacket Radio 1,2015-01-26,RX_profile_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
